Watertype;Groeivorm;Klasse;Ondergrens;Bovengrens
M3;Drijvende vegetatie;Slecht;0;5
M3;Emerse vegetatie;MEP;10;10
M3;Emerse vegetatie;GEP;5;30
M3;Emerse vegetatie;Matig;1;5
M3;Emerse vegetatie;Matig;30;50
M3;Emerse vegetatie;Ontoereikend;50;75
M3;Emerse vegetatie;Slecht;75;100
M3;Emerse vegetatie;Slecht;0;1
M6a;Submerse vegetatie;MEP;65;65
M6a;Submerse vegetatie;GEP;30;90
M6a;Submerse vegetatie;Matig;10;30
M6a;Submerse vegetatie;Matig;90;95
M6a;Submerse vegetatie;Ontoereikend;5;10
M6a;Submerse vegetatie;Ontoereikend;95;100
M6a;Submerse vegetatie;Slecht;0;5
M6a;Drijvende vegetatie;MEP;40;40
M6a;Drijvende vegetatie;GEP;20;60
M6a;Drijvende vegetatie;Matig;10;20
M6a;Drijvende vegetatie;Matig;60;80
M6a;Drijvende vegetatie;Ontoereikend;5;10
M6a;Drijvende vegetatie;Ontoereikend;80;100
M6a;Drijvende vegetatie;Slecht;0;5
M6a;Emerse vegetatie;MEP;10;10
M6a;Emerse vegetatie;GEP;5;30
M6a;Emerse vegetatie;Matig;1;5
M6a;Emerse vegetatie;Matig;30;50
M6a;Emerse vegetatie;Ontoereikend;50;75
M6a;Emerse vegetatie;Slecht;75;100
M6a;Emerse vegetatie;Slecht;0;1
M6b;Submerse vegetatie;MEP;65;65
M6b;Submerse vegetatie;GEP;30;90
M6b;Submerse vegetatie;Matig;10;30
M6b;Submerse vegetatie;Matig;90;95
M6b;Submerse vegetatie;Ontoereikend;5;10
M6b;Submerse vegetatie;Ontoereikend;95;100
M6b;Submerse vegetatie;Slecht;0;5
M6b;Drijvende vegetatie;MEP;40;40
M6b;Drijvende vegetatie;GEP;20;60
M6b;Drijvende vegetatie;Matig;10;20
M6b;Drijvende vegetatie;Matig;60;80
M6b;Drijvende vegetatie;Ontoereikend;5;10
M6b;Drijvende vegetatie;Ontoereikend;80;100
M6b;Drijvende vegetatie;Slecht;0;5
M6b;Emerse vegetatie;MEP;10;10
M6b;Emerse vegetatie;GEP;5;30
M6b;Emerse vegetatie;Matig;1;5
M6b;Emerse vegetatie;Matig;30;50
M6b;Emerse vegetatie;Ontoereikend;50;75
M6b;Emerse vegetatie;Slecht;75;100
M6b;Emerse vegetatie;Slecht;0;1
M7b;Submerse vegetatie;MEP;65;65
M7b;Submerse vegetatie;GEP;30;90
M7b;Submerse vegetatie;Matig;10;30
M7b;Submerse vegetatie;Matig;90;95
M7b;Submerse vegetatie;Ontoereikend;5;10
M7b;Submerse vegetatie;Ontoereikend;95;100
M7b;Submerse vegetatie;Slecht;0;5
M7b;Drijvende vegetatie;MEP;40;40
M7b;Drijvende vegetatie;GEP;20;60
M7b;Drijvende vegetatie;Matig;10;20
M7b;Drijvende vegetatie;Matig;60;80
M7b;Drijvende vegetatie;Ontoereikend;5;10
M7b;Drijvende vegetatie;Ontoereikend;80;100
M7b;Drijvende vegetatie;Slecht;0;5
M7b;Emerse vegetatie;MEP;10;10
M7b;Emerse vegetatie;GEP;5;30
M7b;Emerse vegetatie;Matig;1;5
M7b;Emerse vegetatie;Matig;30;50
M7b;Emerse vegetatie;Ontoereikend;50;75
M7b;Emerse vegetatie;Slecht;75;100
M7b;Emerse vegetatie;Slecht;0;1
M8;Submerse vegetatie;MEP;70;70
M8;Submerse vegetatie;GEP;35;75
M8;Submerse vegetatie;Matig;20;35
M8;Submerse vegetatie;Matig;75;80
M8;Submerse vegetatie;Ontoereikend;10;20
M8;Submerse vegetatie;Ontoereikend;80;90
M8;Submerse vegetatie;Slecht;0;10
M8;Submerse vegetatie;Slecht;90;100
M8;Drijvende vegetatie;MEP;20;20
M8;Drijvende vegetatie;GEP;10;30
M8;Drijvende vegetatie;Matig;5;10
M8;Drijvende vegetatie;Matig;30;40
M8;Drijvende vegetatie;Ontoereikend;1;5
M8;Drijvende vegetatie;Ontoereikend;40;100
M8;Drijvende vegetatie;Slecht;0;1
M8;Emerse vegetatie;MEP;20;20
M8;Emerse vegetatie;GEP;10;30
M8;Emerse vegetatie;Matig;5;10
M8;Emerse vegetatie;Matig;30;50
M8;Emerse vegetatie;Ontoereikend;1;5
