"ID_classificatie","bron","Grootheid.code","Grootheid.omschrijving","Parameter.code","Parameter.omschrijving","CAS.nummer","Eenheid.code","Hoedanigheid.code","Compartiment.code","KRWwatertype.code","GeoObject.identificatie","Waardebewerkingmethode.code","Begindatum","Einddatum","Bijzondere.Omstandigheid"
100100041,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei6","Fytopl. - bloeisoort (06) Stephanodiscus hantzschii","NVT","n/ml","cel","OW","M14","","GEM","2000-01-01",NA,""
100100042,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei6","Fytopl. - bloeisoort (06) Stephanodiscus hantzschii","NVT","n/ml","cel","OW","M20","","GEM","2000-01-01",NA,""
100100043,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei6","Fytopl. - bloeisoort (06) Stephanodiscus hantzschii","NVT","n/ml","cel","OW","M23","","GEM","2000-01-01",NA,""
100100044,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei6","Fytopl. - bloeisoort (06) Stephanodiscus hantzschii","NVT","n/ml","cel","OW","M27","","GEM","2000-01-01",NA,""
100100045,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei6","Fytopl. - bloeisoort (06) Stephanodiscus hantzschii","NVT","n/ml","cel","OW","M30","","GEM","2000-01-01",NA,""
100100046,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei7","Fytopl. - bloeisoort (07-08) Microcystis","NVT","n/ml","cel","OW","M3","","GEM","2000-01-01",NA,""
100100047,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei7","Fytopl. - bloeisoort (07-08) Microcystis","NVT","n/ml","cel","OW","M4","","GEM","2000-01-01",NA,""
100100048,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei7","Fytopl. - bloeisoort (07-08) Microcystis","NVT","n/ml","cel","OW","M6a","","GEM","2000-01-01",NA,""
100100049,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei7","Fytopl. - bloeisoort (07-08) Microcystis","NVT","n/ml","cel","OW","M6b","","GEM","2000-01-01",NA,""
100100050,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei7","Fytopl. - bloeisoort (07-08) Microcystis","NVT","n/ml","cel","OW","M7a","","GEM","2000-01-01",NA,""
