"ID_classificatie","bron","Grootheid.code","Grootheid.omschrijving","Parameter.code","Parameter.omschrijving","CAS.nummer","Eenheid.code","Hoedanigheid.code","Compartiment.code","KRWwatertype.code","GeoObject.identificatie","Waardebewerkingmethode.code","Begindatum","Einddatum","Bijzondere.Omstandigheid"
100300042,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_groepBK","Visgroep - brasem en karper (BK)","NVT","%","NVT","OW","M6b",NA,"BER","2000-01-01",NA,"VISrelMs"
100300043,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildePm","Visgilde - plantminnende soort (Pm)","NVT","%","NVT","OW","M6b",NA,"BER","2000-01-01",NA,"VISrelMs"
100300044,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_groepBK","Visgroep - brasem en karper (BK)","NVT","%","NVT","OW","M7a",NA,"BER","2000-01-01",NA,"VISrelMs"
100300045,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildePm","Visgilde - plantminnende soort (Pm)","NVT","%","NVT","OW","M7a",NA,"BER","2000-01-01",NA,"VISrelMs"
100300046,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_groepBK","Visgroep - brasem en karper (BK)","NVT","%","NVT","OW","M7b",NA,"BER","2000-01-01",NA,"VISrelMs"
100300047,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildePm","Visgilde - plantminnende soort (Pm)","NVT","%","NVT","OW","M7b",NA,"BER","2000-01-01",NA,"VISrelMs"
100300048,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_groepBK","Visgroep - brasem en karper (BK)","NVT","%","NVT","OW","M8",NA,"BER","2000-01-01",NA,"VISrelMs"
100300049,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildePm","Visgilde - plantminnende soort (Pm)","NVT","%","NVT","OW","M8",NA,"BER","2000-01-01",NA,"VISrelMs"
100300050,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_groepBK","Visgroep - brasem en karper (BK)","NVT","%","NVT","OW","M10",NA,"BER","2000-01-01",NA,"VISrelMs"
100300051,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildePm","Visgilde - plantminnende soort (Pm)","NVT","%","NVT","OW","M10",NA,"BER","2000-01-01",NA,"VISrelMs"
100300052,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildeEx","Visgilde - exote soort (Ex)","NVT","%","NVT","OW","M12",NA,"BER","2000-01-01",NA,"VISrelMs"
100300053,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_groepBK","Visgroep - brasem en karper (BK)","NVT","%","NVT","OW","M14",NA,"BER","2000-01-01",NA,"VISrelMs"
100300054,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_groepBB","Visgroep - baars en blankvoorn (BB)","NVT","%","NVT","OW","M14",NA,"BER","2000-01-01",NA,"VISrelMs_EU"
100300055,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildePm","Visgilde - plantminnende soort (Pm)","NVT","%","NVT","OW","M14",NA,"BER","2000-01-01",NA,"VISrelMs"
100300056,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildeO2","Visgilde - zuurstoftolerante soort (O2)","NVT","%","NVT","OW","M14",NA,"BER","2000-01-01",NA,"VISrelMs"
100300057,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_groepBK","Visgroep - brasem en karper (BK)","NVT","%","NVT","OW","M20",NA,"BER","2000-01-01",NA,"VISrelMs"
100300058,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_groepBB","Visgroep - baars en blankvoorn (BB)","NVT","%","NVT","OW","M20",NA,"BER","2000-01-01",NA,"VISrelMs_EU"
100300059,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildePm","Visgilde - plantminnende soort (Pm)","NVT","%","NVT","OW","M20",NA,"BER","2000-01-01",NA,"VISrelMs"
100300060,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildeO2","Visgilde - zuurstoftolerante soort (O2)","NVT","%","NVT","OW","M20",NA,"BER","2000-01-01",NA,"VISrelMs"
100300061,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_groepBK","Visgroep - brasem en karper (BK)","NVT","%","NVT","OW","M23",NA,"BER","2000-01-01",NA,"VISrelMs"
100300062,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_groepBB","Visgroep - baars en blankvoorn (BB)","NVT","%","NVT","OW","M23",NA,"BER","2000-01-01",NA,"VISrelMs_EU"
100300063,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildePm","Visgilde - plantminnende soort (Pm)","NVT","%","NVT","OW","M23",NA,"BER","2000-01-01",NA,"VISrelMs"
100300064,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildeO2","Visgilde - zuurstoftolerante soort (O2)","NVT","%","NVT","OW","M23",NA,"BER","2000-01-01",NA,"VISrelMs"
100300065,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_groepBK","Visgroep - brasem en karper (BK)","NVT","%","NVT","OW","M27",NA,"BER","2000-01-01",NA,"VISrelMs"
100300066,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_groepBB","Visgroep - baars en blankvoorn (BB)","NVT","%","NVT","OW","M27",NA,"BER","2000-01-01",NA,"VISrelMs_EU"
100300067,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildePm","Visgilde - plantminnende soort (Pm)","NVT","%","NVT","OW","M27",NA,"BER","2000-01-01",NA,"VISrelMs"
100300068,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildeO2","Visgilde - zuurstoftolerante soort (O2)","NVT","%","NVT","OW","M27",NA,"BER","2000-01-01",NA,"VISrelMs"
100300069,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildeCA","Visgilde - diadrome soort zoute wateren (CA)","NVT","%","NVT","OW","M30",NA,"BER","2000-01-01",NA,"VISrelMs"
100300070,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildeER","Visgilde - estuarien residente soort (ER)","NVT","%","NVT","OW","M30",NA,"BER","2000-01-01",NA,"VISrelMs"
100300071,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildeMJS","Visgilde - mariene juveniel/seizoensgast (MJ+MS)","NVT","%","NVT","OW","M30",NA,"BER","2000-01-01",NA,"VISrelMs"
100300072,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildeZ12","Visgilde - chloridetolerante soort (Z1+Z2)","NVT","%","NVT","OW","M30",NA,"BER","2000-01-01",NA,"VISrelMs"
100300073,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildeZ3","Visgilde - plantminnende soort (Z3)","NVT","%","NVT","OW","M30",NA,"BER","2000-01-01",NA,"VISrelMs"
100300074,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildeCA","Visgilde - diadrome soort zoute wateren (CA)","NVT","%","NVT","OW","M31",NA,"BER","2000-01-01",NA,"VISrelMs"
100300075,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildeER","Visgilde - estuarien residente soort (ER)","NVT","%","NVT","OW","M31",NA,"BER","2000-01-01",NA,"VISrelMs"
100300076,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildeMJS","Visgilde - mariene juveniel/seizoensgast (MJ+MS)","NVT","%","NVT","OW","M31",NA,"BER","2000-01-01",NA,"VISrelMs"
100300077,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildeZ12","Visgilde - chloridetolerante soort (Z1+Z2)","NVT","%","NVT","OW","M31",NA,"BER","2000-01-01",NA,"VISrelMs"
100300078,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildeCA","Visgilde - diadrome soort zoute wateren (CA)","NVT","%","NVT","OW","M32",NA,"BER","2000-01-01",NA,"VISrelMs"
100300079,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildeER","Visgilde - estuarien residente soort (ER)","NVT","%","NVT","OW","M32",NA,"BER","2000-01-01",NA,"VISrelMs"
100300080,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildeMJS","Visgilde - mariene juveniel/seizoensgast (MJ+MS)","NVT","%","NVT","OW","M32",NA,"BER","2000-01-01",NA,"VISrelMs"
100300081,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildeZ12","Visgilde - chloridetolerante soort (Z1+Z2)","NVT","%","NVT","OW","M32",NA,"BER","2000-01-01",NA,"VISrelMs"
100300082,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_ABRMBRAM","Abramis brama","NVT","%","NVT","OW","M5",NA,"BER","2000-01-01",NA,"VISrelMs"
100300083,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_groepBB","Visgroep - baars en blankvoorn (BB)","NVT","%","NVT","OW","M5",NA,"BER","2000-01-01",NA,"VISrelMs_EU"
100300084,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildePm","Visgilde - plantminnende soort (Pm)","NVT","%","NVT","OW","M5",NA,"BER","2000-01-01",NA,"VISrelMs"
100300085,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildeO2","Visgilde - zuurstoftolerante soort (O2)","NVT","%","NVT","OW","M5",NA,"BER","2000-01-01",NA,"VISrelMs"
100300086,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_ABRMBRAM","Abramis brama","NVT","%","NVT","OW","M11",NA,"BER","2000-01-01",NA,"VISrelMs"
100300087,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_groepBB","Visgroep - baars en blankvoorn (BB)","NVT","%","NVT","OW","M11",NA,"BER","2000-01-01",NA,"VISrelMs_EU"
